customer_id,plan_type,device_brand,avg_data_usage_gb,pct_video_usage,avg_call_duration,sms_freq,monthly_spend,topup_freq,travel_score,complaint_count,target_offer
C00001,Prepaid,Realme,1.5,0.8041460263450491,7.98,13,70000.0,4,0.2844189968419545,0,General Offer
C00002,Postpaid,Vivo,1.09,0.1076863752936521,9.56,9,63000.0,3,0.115086282053617,0,General Offer
C00003,Postpaid,Xiaomi,3.24,0.3138939838062413,4.61,13,89000.0,7,0.4029975964116064,0,General Offer
C00004,Prepaid,Apple,5.32,0.4201575981035561,6.96,8,67000.0,4,0.3021685393268597,0,General Offer
C00005,Prepaid,Huawei,1.91,0.2516379006484085,11.01,21,72000.0,5,0.4879106397322117,0,General Offer
C00006,Prepaid,Oppo,3.3,0.4788727460207512,6.53,17,54000.0,3,0.3721345593936155,0,Top-up Promo
C00007,Prepaid,Oppo,9.87,0.3758819893898382,11.17,11,140000.0,5,0.3082200581847888,1,Device Upgrade Offer
C00008,Postpaid,Oppo,13.91,0.4659773679501838,7.72,14,180000.0,4,0.288256995134708,2,Device Upgrade Offer
C00009,Postpaid,Realme,1.25,0.2221783283403327,10.73,20,72000.0,2,0.2706011596828401,0,General Offer
C00010,Postpaid,Huawei,3.66,0.196773660189904,13.36,11,83000.0,1,0.3427301707767397,0,General Offer
C00011,Prepaid,Samsung,13.69,0.3942790927449057,12.97,16,163000.0,2,0.2796367106251138,0,Device Upgrade Offer
C00012,Postpaid,Huawei,10.6,0.5458178895784999,12.09,12,185000.0,4,0.3615081826815109,0,Data Booster
C00013,Postpaid,Samsung,9.87,0.7686890921458518,16.63,11,125000.0,4,0.4151103256570359,0,Data Booster
C00014,Prepaid,Oppo,4.56,0.0345445424505942,0.72,19,106000.0,7,0.3371738902950922,0,General Offer
C00015,Prepaid,Vivo,6.41,0.3605905304263257,9.85,17,127000.0,3,0.3458563409697135,0,Device Upgrade Offer
C00016,Prepaid,Vivo,8.63,0.4885739641580522,13.89,11,141000.0,5,0.4290833844778194,0,Device Upgrade Offer
C00017,Prepaid,Samsung,17.43,0.4730515850509491,-0.26,15,227000.0,3,0.2910480564348923,0,Device Upgrade Offer
C00018,Prepaid,Oppo,2.86,0.1558238936582457,18.64,14,92000.0,3,0.1477056495244556,1,General Offer
C00019,Prepaid,Huawei,5.32,0.2546241053197001,8.5,18,98000.0,3,0.3179561492941841,0,General Offer
C00020,Prepaid,Vivo,4.53,0.3972369868853305,6.62,15,114000.0,1,0.1852173072238246,0,General Offer
C00021,Postpaid,Samsung,4.08,0.9366801131000492,13.84,13,84000.0,3,0.634599880745164,0,General Offer
C00022,Prepaid,Huawei,8.12,0.5886210603569009,6.13,17,147000.0,2,0.2241133929087941,0,Data Booster
C00023,Prepaid,Oppo,8.03,0.4700858558158094,16.75,7,140000.0,2,0.4900659430432523,0,Device Upgrade Offer
C00024,Prepaid,Xiaomi,5.37,0.0,10.1,14,108000.0,3,0.108913962810855,1,General Offer
C00025,Prepaid,Oppo,12.58,0.1365121182370052,17.09,11,142000.0,3,0.1940003051607201,2,Device Upgrade Offer
C00026,Postpaid,Realme,8.59,0.1542240453190257,16.16,14,146000.0,5,0.2829539589783602,0,General Offer
C00027,Prepaid,Oppo,10.4,0.4716028472556572,10.61,14,141000.0,1,0.3138297371902162,0,Device Upgrade Offer
C00028,Prepaid,Huawei,2.89,0.3727583387278639,6.6,17,86000.0,3,0.051453828758135,0,General Offer
C00029,Prepaid,Huawei,5.53,0.2729605608314636,18.69,13,120000.0,4,0.4831550663193269,0,General Offer
C00030,Prepaid,Apple,10.13,0.4668892929323563,2.42,14,145000.0,2,0.1756723611203664,0,General Offer
C00031,Postpaid,Apple,1.97,0.0978574978174671,8.3,16,39000.0,2,0.4430089364763723,1,Retention Offer
C00032,Prepaid,Huawei,8.26,0.2370370072534525,14.34,14,142000.0,5,0.1740006681790753,0,General Offer
C00033,Prepaid,Huawei,1.93,0.3868224106587541,2.67,10,59000.0,4,0.3639283285813474,0,Top-up Promo
C00034,Postpaid,Xiaomi,8.83,0.7738433522001377,3.89,21,166000.0,1,0.1932411720756732,1,Data Booster
